,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE,STATUS,target
0,5008804,1,1,1,0,427500.0,4,1,0,4,-12005,-4542,1,1,0,0,17,2.0,0,6,0
1,5008805,1,1,1,0,427500.0,4,1,0,4,-12005,-4542,1,1,0,0,17,2.0,0,6,0
2,5008806,1,1,1,0,112500.0,4,4,1,1,-21474,-1134,1,0,0,0,16,2.0,0,6,0
3,5008808,0,0,1,0,270000.0,0,4,3,1,-19110,-3051,1,0,1,1,14,1.0,0,0,0
4,5008809,0,0,1,0,270000.0,0,4,3,1,-19110,-3051,1,0,1,1,14,1.0,-22,7,0
5,5008810,0,0,1,0,270000.0,0,4,3,1,-19110,-3051,1,0,1,1,14,1.0,0,6,0
6,5008811,0,0,1,0,270000.0,0,4,3,1,-19110,-3051,1,0,1,1,14,1.0,0,6,0
7,5008812,0,0,1,0,283500.0,1,1,2,1,-22464,365243,1,0,0,0,17,1.0,-4,0,0
8,5008813,0,0,1,0,283500.0,1,1,2,1,-22464,365243,1,0,0,0,17,1.0,0,0,0
9,5008814,0,0,1,0,283500.0,1,1,2,1,-22464,365243,1,0,0,0,17,1.0,-1,0,0
10,5008815,1,1,1,0,270000.0,4,1,1,1,-16872,-769,1,1,1,1,0,2.0,0,0,0
11,5112956,1,1,1,0,270000.0,4,1,1,1,-16872,-769,1,1,1,1,0,2.0,0,7,0
12,5008819,1,1,1,0,135000.0,0,4,1,1,-17778,-1194,1,0,0,0,8,2.0,-10,7,0
13,5008820,1,1,1,0,135000.0,0,4,1,1,-17778,-1194,1,0,0,0,8,2.0,-8,7,0
14,5008821,1,1,1,0,135000.0,0,4,1,1,-17778,-1194,1,0,0,0,8,2.0,0,7,0
15,5008822,1,1,1,0,135000.0,0,4,1,1,-17778,-1194,1,0,0,0,8,2.0,-14,7,0
16,5008823,1,1,1,0,135000.0,0,4,1,1,-17778,-1194,1,0,0,0,8,2.0,-3,7,0
17,5008824,1,1,1,0,135000.0,0,4,1,1,-17778,-1194,1,0,0,0,8,2.0,0,0,0
18,5008825,0,1,0,0,130500.0,4,2,1,1,-10669,-1103,1,0,0,0,0,2.0,0,0,0
19,5008826,0,1,0,0,130500.0,4,2,1,1,-10669,-1103,1,0,0,0,0,2.0,-1,6,0
20,5008830,0,0,1,0,157500.0,4,4,1,1,-10031,-1469,1,0,1,0,8,2.0,0,6,0
21,5008831,0,0,1,0,157500.0,4,4,1,1,-10031,-1469,1,0,1,0,8,2.0,0,6,0
22,5008832,0,0,1,0,157500.0,4,4,1,1,-10031,-1469,1,0,1,0,8,2.0,0,6,0
23,5008834,0,0,1,1,112500.0,4,4,3,1,-10968,-1620,1,0,0,0,17,2.0,0,6,0
24,5008835,0,0,1,1,112500.0,4,4,3,1,-10968,-1620,1,0,0,0,17,2.0,-28,7,0
25,5008836,1,1,1,3,270000.0,4,4,1,1,-12689,-1163,1,0,0,0,8,5.0,-8,6,0
26,5008837,1,1,1,3,270000.0,4,4,1,1,-12689,-1163,1,0,0,0,8,5.0,-2,6,0
27,5008838,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,-9,7,0
28,5008839,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,0,6,0
29,5008840,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,0,6,0
30,5008841,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,0,0,0
31,5008842,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,0,0,0
32,5008843,1,0,1,1,405000.0,0,1,1,1,-11842,-2016,1,0,0,0,10,3.0,0,6,0
33,5008844,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,-11,6,0
34,5008846,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,0,0,0
35,5008847,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,-14,6,0
36,5008849,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,-40,6,0
37,5008850,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,0,0,0
38,5008851,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,0,0,0
39,5008852,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,0,0,0
40,5008853,1,1,1,0,112500.0,0,4,1,1,-20502,-4450,1,0,1,0,4,2.0,-24,6,0
41,5008854,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,-38,0,0
42,5008855,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,6,0
43,5008856,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,0,0
44,5008857,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,7,0
45,5008858,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,6,0
46,5008859,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,0,0
47,5008860,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,0,0
48,5008861,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,0,0
49,5008862,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,0,0
50,5008863,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,-1,0,0
51,5008864,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,0,0,0
52,5008865,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,-7,0,0
53,5008866,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,-18,0,0
54,5008867,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,-22,7,0
55,5112846,0,1,1,2,135000.0,4,4,1,1,-15761,-3173,1,0,0,0,8,4.0,-15,6,0
56,5008868,0,0,1,1,211500.0,2,4,0,1,-16212,-7099,1,0,0,0,3,3.0,0,0,0
57,5008870,0,0,1,1,211500.0,2,4,0,1,-16212,-7099,1,0,0,0,3,3.0,-9,0,0
58,5008872,1,1,1,0,360000.0,0,4,1,1,-16670,-5364,1,0,1,0,16,2.0,0,0,0
59,5008873,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
60,5008874,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
61,5008875,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
62,5008876,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
63,5008877,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
64,5008878,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,-32,1,0
65,5008879,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
66,5008880,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
67,5008881,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,0,6,0
68,5008882,0,0,1,2,126000.0,0,1,1,1,-12411,-1773,1,0,0,1,10,4.0,-6,6,0
69,5008884,0,0,1,0,315000.0,1,4,4,1,-20186,365243,1,0,0,0,17,1.0,0,6,0
70,5008888,0,0,1,0,247500.0,0,1,2,4,-17016,-1347,1,0,0,0,3,1.0,-6,7,0
71,5008889,0,0,1,0,247500.0,0,1,2,4,-17016,-1347,1,0,0,0,3,1.0,0,0,0
72,5008890,0,0,1,0,247500.0,0,1,2,4,-17016,-1347,1,0,0,0,3,1.0,-43,7,0
73,5112847,0,0,1,0,247500.0,0,1,2,4,-17016,-1347,1,0,0,0,3,1.0,-20,7,0
74,5008891,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,0,6,0
75,5008892,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-22,6,0
76,5008893,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,0,6,0
77,5008894,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,0,6,0
78,5008895,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,0,6,0
79,5008896,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-19,6,0
80,5008897,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-17,6,0
81,5008898,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-11,6,0
82,5008899,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-15,6,0
83,5008900,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-9,6,0
84,5008901,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-12,6,0
85,5008902,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-7,6,0
86,5008903,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-12,6,0
87,5008904,0,0,1,0,297000.0,0,4,3,4,-15519,-3234,1,0,0,0,8,1.0,-6,6,0
